a,0.087890625
b,0.01634837962962963
c,0.02025462962962963
d,0.04137731481481482
e,0.12290219907407407
f,0.024739583333333332
g,0.018518518518518517
h,0.060474537037037035
i,0.061197916666666664
j,0.0012297453703703704
k,0.008101851851851851
l,0.04528356481481482
m,0.033203125
n,0.06459780092592593
o,0.07826967592592593
p,0.01490162037037037
q,0.0008680555555555555
r,0.059895833333333336
s,0.061342592592592594
t,0.07899305555555555
u,0.030237268518518517
v,0.013020833333333334
w,0.02589699074074074
x,0.0010127314814814814
y,0.029296875
z,0.00014467592592592592
