a,0.08990205223880597
b,0.014692164179104478
c,0.025069962686567165
d,0.044542910447761194
e,0.11462220149253731
f,0.026352611940298507
g,0.021805037313432835
h,0.07159514925373134
i,0.06937966417910447
j,0.0005830223880597014
k,0.008628731343283583
l,0.03766324626865672
m,0.027635261194029852
n,0.07159514925373134
o,0.08173973880597014
p,0.012243470149253732
q,0.001982276119402985
r,0.05177238805970149
s,0.06424906716417911
t,0.08698694029850747
u,0.02845149253731343
v,0.010611007462686567
w,0.021222014925373133
x,0.0018656716417910447
y,0.014225746268656716
z,0.0005830223880597014
